排名,排名变化,中文全名,英文全名,年龄,出生地中文,出生地英文,性别,出生日期,教育程度中文,教育程度英文,学校中文,学校英文,常居地中文,常居地英文,照片,公司中文全名,公司英文全名,公司总部地中文,公司总部地英文,所在行业中文,所在行业英文,组织结构,人民币财富值,财富值变化,美元财富值,年份
206,26,王麒诚、吴艳,Wang Qicheng、Wu Yan,44,中国-浙江-杭州,China-Zhejiang-Hangzhou,男,1980-01-01,本科,Undergraduate,浙大,浙江大学,中国-上海,China-Shanghai,,汉鼎宇佑,Hakim,浙江杭州,Zhejiang,文化传媒、投资,"Media, Investments",夫妇,230.0,2%,3240.0,2024
206,-18,徐波,Xu Bo,47,,,男,1977-01-01,,,,,中国-广东-广州,,,多益网络,Duoyi,广东广州,Guangdong,网络游戏,Gaming,未知,230.0,-15%,3240.0,2024
206,-1,许荣茂,Xu Rongmao,74,中国-福建-泉州,China-Fujian-Quanzhou,男,1950-07-01,,,,美国国立波士顿大学,中国-香港,China-Hong Kong,,世茂,Shimao,上海黄浦,Shanghai,投资、房地产,"Investments, Real Estate",家族,230.0,-8%,3240.0,2024
206,21,郑正,Cheng Cheng,未知,中国-台湾,China-Taiwan,男,1900-01-01,,,,,中国-台湾-台北,China-Taiwan-Taipei,,长春,Chang Chun,台湾台北,Taiwan,化工,Chemicals,未知,230.0,0%,3240.0,2024
213,-42,董经贵、钱静红,Dong Jinggui、Qian Jinghong,54,,,男,1970-01-01,,,,,中国-上海,China-Shanghai,,雅迪,Yadea,江苏无锡,Shanghai,电动车,Electric vehicle,夫妇,225.0,-22%,3170.0,2024
213,48,刘炽平,Lau Chiping,51,中国-北京,China-Beijing,男,1973-01-01,硕士,Master s,,斯坦福大学\西北大学凯洛格管理学院,中国-广东-深圳,China-Guangdong-Shenzhen,,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,未知,225.0,10%,3170.0,2024
213,-11,茅理翔,Mao Lixiang,83,中国-浙江-宁波,China-Zhejiang-Ningbo,男,1941-01-01,,,,,中国-浙江-宁波,China-Zhejiang-Ningbo,,方太厨具,Fotile,浙江宁波,Zhejiang,厨具,Kitchenware ,家族,225.0,-12%,3170.0,2024
213,1,孙纪木、孙春莉,Sun Jimu、Sun Chunli,68,中国-浙江-绍兴,China-Zhejiang-Shaoxing,男,1956-11-01,硕士,Master s,绍兴农业、澳大利亚昆士兰大学,浙江农业大学,中国-北京,China-Beijing,,新华联合冶金,Sinogiant,河北沧州,Hebei,钢铁,Steel,夫妇,225.0,-6%,3170.0,2024
213,1,吴光明、吴群,Wu Guangming、Wu Qun,62,中国-江苏-镇江,China-Jiangsu-Jiang,男,1962-02-01,硕士,Master s,,,中国-江苏-镇江,China-Jiangsu-Jiang,,鱼跃医疗,Yuwell,江苏镇江,Jiangsu,医疗设备,Medical equipment ,父子,225.0,-6%,3170.0,2024
213,40,尹衍梁,Samuel Yin Yan-Liang,74,中国-台湾-台北,China-Taiwan-Taipei,男,1950-08-16,,,,,中国-台湾-台北,China-Taiwan-Taipei,,润泰,Ruentex,台湾台北,Taiwan,建筑开发、金融保险,"Real Estate, Insurance",家族,225.0,7%,3170.0,2024
213,-34,张红超,Zhang Hongchao,46,中国-河南-商丘,China-Henan-Shangqiu,男,1978-01-01,,,,,中国-河南-郑州,China -Henan-Zhengzhou,,蜜雪冰城,MXBC,河南郑州,Henan,餐饮,Catering,未知,225.0,-20%,3170.0,2024
213,-34,张红甫,Zhang Hongfu,39,中国-河南-商丘,China-Henan-Shangqiu,男,1985-01-01,,,,,中国-河南-郑州,China -Henan-Zhengzhou,,蜜雪冰城,MXBC,河南郑州,Henan,餐饮,Catering,未知,225.0,-20%,3170.0,2024
213,-76,赵燕,Zhao Yan,57,中国-云南-昆明,China-Yunnan-Kunming,女,1967-01-01,本科,Undergraduate,华东师大,美国福特汉姆大学,中国-北京,China-Beijing,,华熙国际,Bloomage,北京,Beijing,生物医药、房地产,"Biotech, Real Estate",家族,225.0,-36%,3170.0,2024
213,214,郑坚江,Zheng Jianjiang,63,中国-浙江-宁波,China-Zhejiang-Ningbo,男,1961-01-01,,,,,中国-浙江-宁波,China-Zhejiang-Ningbo,,奥克斯,AUX,浙江宁波,Zhejiang,家电、房地产,"Household appliances, real estate",未知,225.0,67%,3170.0,2024
213,10,朱林瑶,Chu Lam Yiu,54,中国-四川,China - Sichuan,女,1970-01-01,,,,,中国-广东-深圳,China-Guangdong-Shenzhen,,华宝国际,Huabao International,广东深圳,Guangdong,香精香料、烟草,"Flavours & Fragrances, Tobacco",未知,225.0,-4%,3170.0,2024
224,19,蔡镇宇,Tsai Chen-Yu,71,中国-台湾-台北,China-Taiwan-Taipei,男,1953-01-01,,,,,中国-台湾-台北,China-Taiwan-Taipei,,宝丰隆,Homax Equity,台湾台北,Taiwan,金融服务,Financial Services,未知,220.0,2%,3100.0,2024
224,-57,崔根良、崔巍,Cui Genliang、Cui Wei,66,中国-江苏-苏州,China-Jiangsu-Suzhou,男,1958-05-01,,,,,中国-江苏-苏州,China-Jiangsu-Suzhou,,亨通,Hengtong,江苏苏州,Jiangsu,电缆、热能电力、投资,"Cable, energy, Investments",父子,220.0,-27%,3100.0,2024
224,89,郭建军,Guo Jianjun,未知,,,男,1900-01-01,,,,,中国-内蒙古-鄂尔多斯,China-Inner Mongolia,,汇能,Huineng,内蒙古鄂尔多斯,Inner Mongolia,煤炭、路桥、房地产,"Coal, Construction, Real Estate",未知,220.0,26%,3100.0,2024
224,66,罗才仁,Luo Tsai-Ren,71,中国-台湾-彰化,China-Taiwan-Changhua,男,1953-01-01,,,,,中国-台湾-彰化,China-Taiwan-Changhua,,正新橡胶,Cheng Shin Rubber,台湾彰化,Taiwan,橡胶,Rubber,家族,220.0,19%,3100.0,2024
228,52,郭梅兰、张寓帅,Guo Meilan、Zhang Yushuai,未知,,,女,1900-01-01,,,,,中国-广东-东莞,China-Guangdong-Dongguan,,东阳光,Hec Technology,广东深圳,Guangdong,医药、电子新材料,"Pharmaceuticals, New Materials",母子,215.0,13%,3030.0,2024
228,4,薛敏,Xue Min,未知,,,男,1900-01-01,,,,,中国-上海,,,联影医疗,United Imaging,上海嘉定,Shanghai,医疗设备,Medical equipment,未知,215.0,-4%,3030.0,2024
228,97,赵藤雄,Chao Teng-Hsiung,80,中国-台湾,China-Taiwan,男,1944-10-04,,,,,中国-台湾-台北,China-Taiwan-Taipei,,远雄,Farglory,台湾台北,Taiwan,房地产,Real Estate,家族,215.0,26%,3030.0,2024
231,22,陈永泰,Chen Yung-Tai,88,中国-台湾-台北,China-Taiwan-Taipei,男,1936-01-01,,,,,中国-台湾-台北,China-Taiwan-Taipei,,震旦,Aurora,台湾台北,Taiwan,办公家具、房地产,"Office Furniture, Real Estate",未知,210.0,0%,2960.0,2024
231,82,仇建平、王玲玲,Qiu Jianping、Wang Lingling,62,中国-浙江-杭州,China-Zhejiang-Hangzhou,男,1962-01-01,硕士,Master s,西交大,,中国-浙江-杭州,China-Zhejiang-Hangzhou,,巨星科技,GreatStar Industrial,浙江杭州,Zhejiang,工具制造,Tools,夫妇,210.0,20%,2960.0,2024
231,71,马维建,Ma Weijian,未知,,,男,1900-01-01,,,,,中国-台湾-台北,Taiwan,,元大,Yuanta,台湾台北,Taiwan,金融服务,Financial Services,家族,210.0,17%,2960.0,2024
234,40,郭恩元,Guo Enyuan,76,中国-河北-邯郸,China-Hebei-Handan,男,1948-01-01,,,,,,,,普阳钢铁,Puyang Iron and steel,河北邯郸,Hebei,钢铁、煤化工,Metals & Mining,家族,205.0,5%,2890.0,2024
234,9,冷友斌,Leng Youbin,55,中国-黑龙江-黑河,China-Heilongjiang-Heihe,男,1969-01-01,,,,,中国-北京,China-Beijing,,中国飞鹤,China Feihe,北京,Beijing,乳业,Dairy,未知,205.0,-5%,2890.0,2024
234,-37,宿华,Su Hua,42,中国-湖南,China-Hunan,男,1982-01-01,硕士,Master s,清华、清华、清华退学,清华大学,中国-北京,China-Beijing,,快手科技,Kuaishou,北京,Beijing,传媒娱乐,Media & Entertainment,未知,205.0,-23%,2890.0,2024
234,302,叶刚,Ye Gang,43,,,男,1981-01-01,,,,,新加坡,Singapore,,冬海集团,Sea,新加坡,Singapore,网络游戏、电商,"Online Games, E-Commerce",未知,205.0,86%,2890.0,2024
234,-86,张道才,Zhang Daocai,74,中国-浙江-绍兴,China-Zhejiang-Shaoxing,男,1950-01-01,,,,,中国-浙江-绍兴,China-Zhejiang-Shaoxing,,三花控股,Sanhua,浙江绍兴,Zhejiang,工业设备、汽车零部件、房地产,"Industrial equipment, automotive parts, real estate",家族,205.0,-38%,2890.0,2024
239,29,黄柏年,Elijah Widjaja,68,印尼,Indonesia,男,1956-01-01,,,,,中国-上海,China-Shanghai,,外滩中心,Bund Center,上海,Shanghai,房地产,Real Estate,未知,200.0,0%,2820.0,2024
239,-7,倪祖根,Ni Zugen,67,中国-江苏-苏州,China-Jiangsu-Suzhou,男,1957-11-01,本科,Undergraduate,,,中国-江苏-苏州,China-Jiangsu-Suzhou,,莱克电气,LEXY,江苏苏州,Jiangsu,小家电,Motor facilities,家族,200.0,-11%,2820.0,2024
239,253,潘政民,Pan Zhengmin,57,中国-江苏,China-Jiangsu,男,1967-01-01,本科,Undergraduate,武进师范,江苏省武进师范学校,中国-广东-深圳,China-Guangdong-Shenzhen,,瑞声科技,AAC Acoustic Technologies,广东深圳,Guangdong,消费电子精密件,Electronic Components,家族,200.0,67%,2820.0,2024
239,4,彭国远,Peng Guoyuan,38,中国-广东-汕尾,China-Guangdong-Tai Wei,男,1986-04-01,硕士,Master s,剑桥,,中国-广东-深圳,China-Guangdong-Shenzhen,,心里程,NWY,广东深圳,Guangdong,教育、房地产,"Education, Real Estate",未知,200.0,-7%,2820.0,2024
239,29,许家印,Xu Jiayin,66,中国-河南-周口,China - Henan - Zhoukou,男,1958-10-01,硕士,Master s,武汉科技、West Alabama,武汉科技大学,中国-广东-广州,China-Guangdong-Guangzhou,,恒大,Evergrande,广东广州,Guangdong,投资、房地产,"Investments, Real Estate",未知,200.0,0%,2820.0,2024
239,74,杨致远,Jerry Yang,56,中国-台湾-台北,China-Taiwan-Taipei,男,1968-11-08,,,,,美国,United States,,雅虎,Yahoo,美国,USA,投资,Investments,未知,200.0,14%,2820.0,2024
239,-2,张峻、陶美萦,Zhang Jun、Tao Meiying,未知,中国-广东-揭阳,China-Guangdong-Jieyang,男,1900-01-01,,,,,中国-广东-深圳,China-Guangdong-Shenzhen,,富德,Funde,广东深圳,Guangdong,保险,Insurance,夫妇,200.0,-9%,2820.0,2024
239,297,张兴海、颜敏,Zhang Xinghai、Yan Min,61,中国-重庆,China-Chongqing,男,1963-01-01,硕士,Master s,,,中国-重庆,China-Chongqing,,小康控股,Xiaokang ,重庆,Chongqing,汽车、汽车零配件,"Cars, automobile parts",夫妇,200.0,82%,2820.0,2024
247,95,胡柏藩,Hu Bofan,62,中国-浙江-绍兴,China-Zhejiang-Shaoxing,男,1962-01-01,硕士,Master s,浙大,浙江大学,中国-浙江-绍兴,China-Zhejiang-Shaoxing,,新和成,NHU,浙江绍兴,Zhejiang,医药,Pharmaceuticals,未知,195.0,18%,2750.0,2024
247,21,黄光苗,Huang Guangmiao,55,中国-广东-汕头,China-Guangdong-Shantou,男,1969-06-01,,,,,中国-广东-深圳,China-Guangdong-Shenzhen,,中洲,Zhongzhou,广东深圳,Guangdong,房地产,Real Estate,未知,195.0,-3%,2750.0,2024
247,33,林敏雄,Lin Ming-Hsiung,74,,,女,1950-01-01,,,,,中国-台湾-台北,China-Taiwan-Taipei,,元利,Yuan Lih,台湾台北,Taiwan,房地产,Real Estate,未知,195.0,3%,2750.0,2024
247,-117,阮洪良,Ruan Hongliang,63,中国-浙江,China-Zhejiang,男,1961-01-01,,,,,中国-浙江-嘉兴,China-Zhejiang-Jiaxing,,福莱特,Flat Glass,浙江嘉兴,Zhejiang,光伏材料,Photovoltaic,家族,195.0,-45%,2750.0,2024
247,130,王伟修、王晓东,Wang Weixiu、Wang Xiaodong,74,中国-山东,China-Shandong,男,1950-01-01,,,,,中国-山东-烟台,China-Shandong-Yantai,,中际旭创,Zhongji Innolight,山东烟台,Shandong,通信设备,Telecommunications,父子,195.0,30%,2750.0,2024
247,-10,薛华,Xue Hua,54,,,男,1970-01-01,本科,Undergraduate,华中农业,,中国-广东-广州,China-Guangdong-Guangzhou,,海大,Haid,广东广州,Guangdong,饲料,Agricultural Products,未知,195.0,-11%,2750.0,2024
247,43,张剑、张格格,Zhang Jian、Zhang Gege,55,中国-河南-商丘,China-Henan-Shangqiu,男,1969-05-01,,,,,中国-天津,China-Tianjin,,爱玛,Aima,天津,Tianjin,电动自行车,E-bicycle,父女,195.0,5%,2750.0,2024
247,14,周超男,Zhou Chaonan,64,中国-湖南-衡阳,,男,1960-01-01,,,,,中国-河北-廊坊,Hebei,,润泽科技,Range Technology,河北廊坊,Hebei,软件与信息技术服务,Software and Information Services,家族,195.0,-5%,2750.0,2024
255,58,曹龙祥、曹飞,Cao Longxiang、Cao Fei,67,,,男,1957-09-01,,,,,中国-江苏-泰兴,China -Jiangsu - Taixing,,济川控股,Jumpcan,江苏泰州,Jiangsu,医药,Pharmaceuticals,父子,190.0,9%,2680.0,2024
255,47,陈泰铭,Pierre Chen Tai-Ming,68,中国-台湾-台南,China-Taiwan-Tainan,男,1956-09-28,,,,,中国-台湾-台北,China-Taiwan-Taipei,,国巨,Yageo,台湾台北,Taiwan,电子制造、收藏,Manufacturing,家族,190.0,6%,2680.0,2024
255,-12,范现国、范明强,Fan Xianguo、Fan Mingqiang,64,中国-河北-邢台,China-Hebei-Yuantai,男,1960-01-01,,,,,中国-河北-邢台,China-Hebei-Yuantai,,今麦郎,JML,河北邢台,Heibei,食品与饮料,Food & Beverage,父子,190.0,-12%,2680.0,2024
255,25,李赶坡,Li Ganpo,75,中国-河北,China-Hebei,男,1949-07-01,,,,,中国-河北-石家庄,China-Hebei-Shijiazhuang,,敬业,Jingye,河北石家庄,Hebei,钢铁,Steel,未知,190.0,0%,2680.0,2024
255,-109,李义海、李鑫,Li Yihai、Li Xin,61,中国-江西-南昌,China-Jiangxi-Nanchang,男,1963-01-01,本科,Undergraduate,江西师范,江西师范大学,中国-江西-南昌,China-Jiangxi-Nanchang,,济民可信,Jemincare,江西南昌,Jiangxi,医药,Pharmaceuticals,父子,190.0,-43%,2680.0,2024
255,47,廖汤慧霭,Rita Tong Liu,76,中国-香港,China-Hong Kong,女,1948-01-01,,,,,中国-香港,China-Hong Kong,,纪惠,Gale Well Group,香港,Hong Kong,房地产,Estate Holding,未知,190.0,6%,2680.0,2024
255,-12,王正华,Wang Zhenghua,80,中国-上海,China-Shanghai,男,1944-04-01,硕士,Master s,王煜（美国南伊利诺伊大学）,,中国-上海,China-Shanghai,,春秋航空,Spring Airlines,上海长宁,Shanghai,航空,Airlines,家族,190.0,-12%,2680.0,2024
255,-53,吴以岭,Wu Yiling,75,中国-河北-衡水,China-Hebei-Hengshui,男,1949-10-01,硕士,Master s,南京中医,,中国-河北-石家庄,China-Hebei-Shijiazhuang,,以岭,Yiling Pharmaceutical,河北石家庄,Hebei,医药,Pharmaceuticals,家族,190.0,-25%,2680.0,2024
255,330,项光通,Xiang Guangtong,未知,中国-浙江-温州,China-Zhejiang-Wenzhou,男,1900-01-01,,,,,中国-浙江-温州,China-Zhejiang-Wenzhou,,青山控股,Tsingshan,浙江温州,Zhejiang,钢铁,Steel,未知,190.0,90%,2680.0,2024
255,-32,周晓萍,Zhou Xiaoping,63,中国-江苏-常州,China-Jiangsu-Changzhou,女,1961-03-01,,,,,中国-江苏-常州,China-Jiangsu-Changzhou,,星宇股份,Shinye,江苏常州,Jiangsu,汽车灯具,Automotive lighting ,家族,190.0,-19%,2680.0,2024
265,25,曾小山,Zeng Xiaoshan,79,中国-湖南-邵东,China -Hunan-Dongdong,男,1945-12-01,,,,,中国-湖南-长沙,China -Hunan-Changsha,,曾氏企业,Zengshi,湖南长沙,Hunan,铝业,Aluminum,家族,185.0,0%,2610.0,2024
265,77,陈志平,Chen Zhiping,48,,,男,1976-01-01,,,,,中国-广东-深圳,,,思摩尔,Smoore,广东深圳,Guangdong,电子烟,Consumer Electronics,未知,185.0,12%,2610.0,2024
265,-91,傅利泉、陈爱玲,Fu Liquan、Chen Ailing,57,中国-浙江-杭州,China-Zhejiang-Hangzhou,男,1967-01-01,,,,浙江电子工业学校,中国-浙江-杭州,China-Zhejiang-Hangzhou,,大华技术,Dahua Technology,浙江杭州,Zhejiang,软件、电子通讯产品,"Software, Electronic and communication products",夫妇,185.0,-35%,2610.0,2024
265,-4,黄敏利、许慧卿,Huang Minli、Xu Huiqing,59,中国-福建-泉州,China-Fujian-Quanzhou,男,1965-01-01,本科,Undergraduate,,,中国-香港,China-Hong Kong,,敏华,Manwah,香港,Hong Kong,休闲沙发,Recreational Sofa,夫妇,185.0,-10%,2610.0,2024
265,-28,黄文仔,Huang Wenzai,71,中国-广东-广州,China-Guangdong-Guangzhou,男,1953-07-01,硕士,Master s,,,中国-广东-广州,China-Guangdong-Guangzhou,,星河湾,Star River,广东广州,Guangdong,房地产、投资,"Real Estate, Investments",未知,185.0,-16%,2610.0,2024
265,-142,简军,Jian Jun,61,中国-北京,China -Beijing,女,1963-11-01,,,,,中国-北京,China -Beijing,,爱美客,Imeik,北京,Beijing,生物制药,Biotechnology,未知,185.0,-51%,2610.0,2024
265,162,梁光伟,Liang Guangwei,61,中国-浙江-台州,China-Zhejiang-Taizhou,男,1963-09-01,硕士,Master s,深圳,,中国-广东-深圳,China-Guangdong-Shenzhen,,华强,Huaqiang,广东深圳,Guangdong,投资,Investments,未知,185.0,37%,2610.0,2024
265,25,谢伟通,Xie Weitong,67,中国-台湾,China-Taiwan,男,1957-01-01,,,,,中国-浙江-嘉兴,China-Zhejiang-Jiaxing,,华友钴业,Huayou Cobalt,浙江嘉兴,Zhejiang,有色金属,Non-ferrous metals,未知,185.0,0%,2610.0,2024
265,New,许邦福,Hsu Bang-Fu,未知,中国-浙江-宁波,Taiwan,未知,1900-01-01,硕士,,日本京都大学,,台湾桃园,Taiwan,,华城电机,Fortune Electric,台湾桃园,Taiwan,电子元件,Electronic Components,家族,185.0,NEW,2610.0,2024
265,60,张双旺、张东海,Zhang Shuangwang、Zhang Donghai,81,中国-内蒙古-鄂尔多斯,China-Inner Mongolia-Ordos,男,1943-06-01,本科,Undergraduate,内蒙古轻工,,中国-内蒙古-鄂尔多斯,China-Inner Mongolia-Ordos,,伊泰,Yitai,内蒙古鄂尔多斯,Inner Mongolia,煤炭,Coal,父子,185.0,9%,2610.0,2024
265,-4,张文中,Zhang Wenzhong,62,中国-山东,China-Shandong,男,1962-07-01,博士,Doctorate,南开、南开、斯坦福,,中国-北京,China-Beijing,,物美,WuMart,北京,Beijing,零售,Retail,未知,185.0,-10%,2610.0,2024
276,-49,季琦,Ji Qi,58,中国-江苏-南通,China-Jiangsu-Nantong,男,1966-10-01,,,,上海交通大学,中国-上海,China-Shanghai,,华住,Home Inn,上海闵行,Shanghai,连锁酒店,Hotel chain ,未知,180.0,-22%,2540.0,2024
276,-179,靳保芳,Jin Baofang,72,中国-河北-邢台,China-Hebei-Yantai,男,1952-09-01,,,,,中国-河北-邢台,China-Hebei-Yantai,,晶澳科技,JA Solar,河北邢台,Hebei,光伏,Solar Energy,家族,180.0,-60%,2540.0,2024
276,49,李洪信,Li Hongxin,71,中国-福建,China-Fujian,男,1953-01-01,本科,Undergraduate,,,中国-山东-济宁,China-Shandong-Jining,,太阳纸业,Sunpaper,山东济宁,Shandong,造纸,Papermaking ,家族,180.0,6%,2540.0,2024
276,New,毛文超,Mao Wenchao,未知,中国-四川-绵阳,Hubei,未知,1900-01-01,本科,,上海交通大学,,上海,Shanghai,,小红书,Xiaohongshu,上海,Shanghai,生活服务平台、电商,E-Commerce,未知,180.0,NEW,2540.0,2024
276,151,王俊民、申萍,Wang Junmin、Shen Ping,56,中国-辽宁,China-Liaoning,男,1968-12-01,硕士,Master s,沈阳医科、长江商学院,沈阳药科大学,新加坡,China-Singapore-Po,,海思科,Haisco Pharmaceutical,西藏山南,Tibet,医药,Pharmaceuticals,夫妇,180.0,33%,2540.0,2024
276,-8,王树华,Wang Shuhua,未知,,,男,1900-01-01,,,,,中国-河北-邯郸,China-Hebei-Hebei,,冀南钢铁,Yuhua Steel,河北邯郸,Hebei,钢铁,Steel,家族,180.0,-10%,2540.0,2024
276,66,翁先定,Weng Xianding,63,,,男,1961-11-28,,,,,中国-广东-深圳,,,新产业,New Industries,广东深圳,Guangdong,医疗器械,Health Tech,未知,180.0,9%,2540.0,2024
276,4,阎志,Yan Zhi,52,中国-湖北-黄冈,China -Hubei - Huanggang,男,1972-07-01,硕士,Master s,武大,武汉大学,中国-湖北-武汉,China -Hubei-Wuhan,,卓尔,Zhuoer,湖北武汉,Hubei,房地产、投资,"Real estate, Investments",未知,180.0,-5%,2540.0,2024
276,49,杨卫东、杨亚珍,Yang Weidong、Yang Yazhen,56,中国-浙江,China-Zhejiang,男,1968-01-01,,,,,中国-浙江-嘉兴,China-Zhejiang-Jiaxing,,卫星石化,Zhejiang Satellite Petro Chemical,浙江嘉兴,Zhejiang,化工,Chemicals,夫妇,180.0,6%,2540.0,2024
276,151,张力、张量,Zhang Li、Zhang Liang,71,中国-广东-广州,China-Guangdong-Guangzhou,男,1953-01-01,博士,Doctorate,美国波士顿,美国国立波士顿大学,中国-广东-广州,China-Guangdong-Guangzhou,,富力地产,R & F,广东广州,Guangdong,投资、房地产,"Investments, Real Estate",父子,180.0,33%,2540.0,2024
276,-15,张松桥,Zhang Songqiao,60,中国-重庆,China-Chongqing,男,1964-07-01,硕士,Master s,党校,,中国-香港,China-Hong Kong,,中渝,Zhongyu,香港,Hong Kong,投资、房地产,"Investments, Real Estate",未知,180.0,-12%,2540.0,2024
276,-39,周泽荣,Zhou Zerong,70,中国-广东-汕头,China-Guangdong-Shantou,男,1954-01-01,,,,,中国-广东-深圳,China-Guangdong-Shenzhen,,侨鑫,Kingold,广东广州,Guangdong,房地产、投资,"Real Estate, Investments",未知,180.0,-18%,2540.0,2024
288,-138,蒋卫平,Jiang Weiping,69,中国-四川-成都,China - Sichuan-Chengdu,男,1955-03-01,本科,Undergraduate,,西华大学,中国-四川-遂宁,China-Sichuan-Suining,,天齐锂业,Tianqi,四川遂宁,Sichuan,锂矿,Mining,家族,175.0,-46%,2460.0,2024
288,2,潘石屹、张欣,Pan Shiyi、Zhang Xin,61,中国-甘肃-天水,China -Gansu - Tianshui,男,1963-01-01,,,,中国石油管道学院,中国-北京,China-Beijing,,SOHO中国,SOHO China,北京,Beijing,投资、房地产,"Investments, Real Estate",夫妇,175.0,-5%,2460.0,2024
288,-83,唐彬森,Tang Binsen,42,中国-安徽-合肥,China-Anhui,男,1982-01-01,,,,,中国-北京,China-Beijing,,元气森林,Genki Forest,北京,Beijing,饮料,Food & Beverage,未知,175.0,-30%,2460.0,2024
288,37,阳萌、贺丽,Yang Meng、He Li,42,,,男,1982-05-01,,,,,中国-湖南-长沙,,,安克,Anker,湖南长沙,Hunan,电子商务,E-Commerce,夫妇,175.0,3%,2460.0,2024
288,14,张静章,Zhang Jingzhang,87,中国-浙江-宁波,China-Zhejiang-Ningbo,男,1937-01-01,,,,,中国-浙江-宁波,China-Zhejiang-Ningbo,,海天国际,Haitian,浙江宁波,Zhejiang,注塑机,Injection molding machine,家族,175.0,-3%,2460.0,2024
293,-61,安康,An Kang,75,中国-河南-新乡,China - Henan - Xinxiang,男,1949-02-01,本科,Undergraduate,河南师范,河南师范大学,中国-河南-新乡,China - Henan - Xinxiang,,华兰生物,Hualan Biological Engineering,河南新乡,Henan,生物制药,Biopharmaceuticals,家族,170.0,-24%,2390.0,2024
293,-50,黄立、黄晟,Huang Li、Huang Sheng,61,中国-陕西-西安,China-Shanxi-Xi’an,男,1963-06-01,硕士,Master s,华中科技,,中国-湖北-武汉,China -Hubei-Wuhan,,高德电气,Guide Electrics,湖北武汉,Hubei,电子制造,Electronics,父子,170.0,-21%,2390.0,2024
293,32,黄茂如、张静,Huang Maoru、Zhang Jin,59,中国-广东-潮州,China-Guangdong-Chaozhou,男,1965-01-01,硕士,Master s,,,中国-广东-深圳,China-Guangdong-Shenzhen,,茂业,Maoye,广东深圳,Guangdong,投资、房地产,"Investments, Real Estate",夫妇,170.0,0%,2390.0,2024
293,20,蒋业华,Jiang Yehua,61,中国-重庆,China-Chongqing,男,1963-01-01,,,,,中国-重庆,China-Chongqing,,华宇,Huayu,重庆,Chongqing,房地产,Real estate,未知,170.0,-3%,2390.0,2024
293,178,林耀英,Scott Lin Yao-Ying,91,,,男,1933-01-01,,,,,中国-台湾-台中,China-Taiwan-Taichung,,大立光,Largan,台湾台北,Taiwan,电子元件,Electronic Components,家族,170.0,36%,2390.0,2024
293,32,戚振波,Qi Zhenbo,未知,,,男,1900-01-01,,,,,中国-上海,China-Shanghai,,美腕,Meione,上海,Shanghai,新零售,New Retail,未知,170.0,0%,2390.0,2024
293,-50,钱东奇、钱程,Qian Dongqi、Qian Cheng,66,中国-江苏-南京,China-Jiangsu-Nanjing,男,1958-02-01,硕士,Master s,南大、南大,南京大学,中国-江苏-苏州,China-Jiangsu-Suzhou,,科沃斯,Ecovacs,江苏苏州,Jiangsu,机器人,Robot,父子,170.0,-21%,2390.0,2024
293,113,肖永明,Xiao Yongming,60,中国-四川-资阳,China -Sichuan-Ziyang,男,1964-07-01,,,,,中国-北京,China-Beijing,,藏格矿业,Zangge Mining,青海格尔木,Qinghai,矿产,Mining,家族,170.0,21%,2390.0,2024
293,32,邢李㷧,Michael Ying Lee-yuen,75,中国-香港,China-Hong Kong,男,1949-01-01,,,,,中国-香港,China-Hong Kong,,思捷环球,Esprit,香港,Hong Kong,投资,Investments,未知,170.0,0%,2390.0,2024
293,65,张帆,Zhang Fan,59,中国-四川-成都,China - Sichuan-Chengdu,男,1965-12-01,本科,Undergraduate,电子科技,,中国-广东-深圳,China-Guangdong-Shenzhen,,汇顶科技,Goodix,广东深圳,Guangdong,半导体芯片,Electronic Components,未知,170.0,6%,2390.0,2024
293,-153,张宏伟,Zhang Hongwei,70,中国-黑龙江-哈尔滨,China - Heilongjiang - Harbin,男,1954-01-01,硕士,Master s,哈工大,哈尔滨建筑工程学院,中国-北京,China-Beijing,,东方,Orient,北京,Beijing,能源、零售,"Energy, Retail",未知,170.0,-51%,2390.0,2024
293,New,周胜馥,Zhou Shengfu,47,,,男,1977-01-01,,,,,中国-香港,China-Hong Kong,,拉拉科技,Lalatech,广东深圳,Guangdong,货运物流,Transportation & Logistics,未知,170.0,NEW,2390.0,2024
293,162,邹支农,Zou Zhinong,56,,,男,1968-04-01,,,,,中国-江苏-苏州,,,天孚通信,Tfc Optical,江苏苏州,Jiangsu,通信设备,Manufacturing,家族,170.0,31%,2390.0,2024
306,-16,蔡东晨,Cai Dongchen,71,中国-河北-石家庄,China-Hebei-Shijiazhuang,男,1953-02-01,硕士,Master s,南开,,中国-河北-石家庄,China-Hebei-Shijiazhuang,,石药,CSPC Pharmaceutical,河北石家庄,Hebei,医药,Pharmaceuticals,未知,165.0,-11%,2320.0,2024
306,-4,陈凯臣,Chen Kaichen,未知,中国-广东-揭阳,China-Guangdong-Jieyang,男,1900-01-01,,,,,中国-广东-广州,China-Guangdong-Guangzhou,,立白,Liby,广东广州,Guangdong,日化用品,Personal Care,家族,165.0,-8%,2320.0,2024
